model,best_params,RMSE_cv,RMSE_test,MAE_test,R2_test
LinearRegression,{},8414.801002648952,4527.90346882885,3315.9614111856044,0.9947146018119802
Ridge,"{""model__alpha"": 0.1}",8307.778623639178,4599.037201683197,3328.58859991578,0.9945472292671211
RandomForest,"{""model__max_depth"": 10, ""model__n_estimators"": 200}",7739.669173001722,4630.466818192519,2619.1956732484086,0.9944724466193532
GradientBoosting,"{""model__learning_rate"": 0.1, ""model__n_estimators"": 200}",7890.136586347193,5447.909306876933,2720.436465167542,0.9923485608146434
SVR,"{""model__C"": 10.0, ""model__epsilon"": 0.1}",83351.9368648816,71292.83199028888,38948.075757487706,-0.3103132295910578
